name,z,g_bar,g_obs,g_bar_err,g_obs_err
CamB,0.0,0.04888832970669486,0.07313801380898416,0.0072967656278649035,0.010916121464027486
D512-2,0.0,0.03965136073127355,0.10904209865492098,0.013209756945571914,0.036327116989216014
D564-8,0.0,0.011408472855239911,0.06596988395633532,0.0018709895482593455,0.010819060968838994
D631-7,0.0,0.017758304587003802,0.14797366544770812,0.0024421542782825474,0.020349607045862826
DDO064,0.0,0.08565343812933056,0.2391847573149143,0.031594978243868206,0.0882280661310878
DDO154,0.0,0.015534256712967017,0.11331963444325725,0.0008876718121695439,0.006475407682471843
DDO161,0.0,0.023220755689191085,0.10589503298851037,0.0009203990908574983,0.0041973522909212885
DDO168,0.0,0.06174805258952112,0.21267358380157175,0.006412297768911809,0.022085333702470913
DDO170,0.0,0.022215549489913108,0.10167677694677424,0.0007143263501579777,0.003269349741053834
ESO079-G014,0.0,0.3318688109429313,0.6158975593086178,0.007569591979934274,0.014048000510072966
ESO116-G012,0.0,0.10798565529861351,0.4122524152128503,0.009140214394918356,0.034894222287659114
ESO444-G084,0.0,0.020549313084957926,0.28691693962270753,0.004824336341476565,0.06735912840903119
ESO563-G021,0.0,0.29644535804004457,0.7437808523803143,0.017235637162969258,0.043244181609547766
F561-1,0.0,0.11071375570431614,0.08520950153568711,0.021967015020697644,0.01690664713009665
F563-1,0.0,0.027987097887103688,0.18114224728592937,0.005650225422490745,0.03657022728225367
F563-V1,0.0,0.03916189109978169,0.030687014602982194,0.014345015054865087,0.011240664689737065
F563-V2,0.0,0.09263616195642149,0.4309445683466819,0.0632752089295557,0.29435705261646233
F565-V2,0.0,0.03991245286631708,0.2542865875213574,0.005763531099829182,0.036720084840629226
F567-2,0.0,0.056730043919966874,0.09207176680720967,0.02173564901148156,0.03527653900659375
F568-1,0.0,0.11618828405561117,0.49387941249805883,0.03894762197920487,0.1655539439078
F568-3,0.0,0.07063117044429723,0.25952361556766823,0.014126234088859446,0.051904723113533655
F568-V1,0.0,0.04402248604845994,0.2559268083147907,0.010893699937415511,0.06333104070162618
F571-8,0.0,0.06667854411479703,0.43211433024987855,0.004630454452416461,0.030007939600686016
F571-V1,0.0,0.036623332031434426,0.1678450520926475,0.005238140457416128,0.024006443684288083
F574-1,0.0,0.08796090125399911,0.2556370809287206,0.009069589417162596,0.026358567622339492
F574-2,0.0,0.06321376615807006,0.04787354681344696,0.025285506463228025,0.019149418725378786
F579-V1,0.0,0.10971299656119987,0.2777887027464231,0.021557641429569098,0.05458304334666559
F583-1,0.0,0.03699344896883835,0.14670945802134622,0.0074159361569233065,0.029410287621994814
F583-4,0.0,0.07116747877711369,0.2171855372330637,0.00997770088720621,0.030449474461860145
IC2574,0.0,0.0415831152450223,0.14432314700957685,0.01145845842307281,0.039769044953750075
IC4202,0.0,0.47195358412759575,0.7633051994685177,0.023463927178489375,0.037948938661835616
KK98-251,0.0,0.04742748349238755,0.12109102428984655,0.005547074092676907,0.014162692899397257
NGC0024,0.0,0.05822651859357397,0.3479088950240977,0.0029960190476329878,0.017901494053058117
NGC0055,0.0,0.08241837929958475,0.17959842538585247,0.01048094996873332,0.022839106118432106
NGC0100,0.0,0.06997840492169721,0.2801680987034195,0.02102421375936956,0.0841733103560712
NGC0247,0.0,0.07987563527346733,0.2551568471358872,0.01373562326197943,0.043877439133647896
NGC0289,0.0,0.032967079090810335,0.12404527285677104,0.0034965083884192782,0.013156316818142383
NGC0300,0.0,0.04698539330162462,0.24007409075430866,0.012160925325126373,0.062136823489350484
NGC0801,0.0,0.15982640186708325,0.2527348734473024,0.01302289200398456,0.020593211910520937
NGC0891,0.0,0.7597065706137671,0.8193712825365056,0.03177618829009507,0.034271779606094226
NGC1003,0.0,0.02554709654798767,0.1417157019068879,0.0007108757300309613,0.003943393444365576
NGC1090,0.0,0.15094714667834908,0.27569053479009936,0.004207651713658981,0.007684873657274019
NGC1705,0.0,0.03146952365521711,0.276099049470728,0.009242797157476352,0.08109202851587816
NGC2366,0.0,0.046208326114529796,0.1304924400411525,0.011075032008016857,0.031275920851968536
NGC2403,0.0,0.057493488841363107,0.2787990091424834,0.0026773087341052672,0.012982879231709677
NGC2683,0.0,0.09753763010902931,0.21341793298446649,0.015502669686203334,0.03392073107037878
NGC2841,0.0,0.08960444881346101,0.4401174298233786,0.004309547300075982,0.021167552577219636
NGC2903,0.0,0.1979748868442262,0.42063412931851035,0.017597767719486776,0.03738970038386759
NGC2915,0.0,0.02177182714379036,0.24149190664432355,0.003246896764796481,0.03601439995042513
NGC2955,0.0,0.41922871932259337,0.4712861101523016,0.041368825166634766,0.046505765935733724
NGC2976,0.0,0.9017301526575896,1.0386668798410328,0.11332411766107107,0.13053351643488714
NGC2998,0.0,0.16151117124303546,0.3158356688827561,0.0047737291993015405,0.00933504440047555
NGC3109,0.0,0.02692894140579863,0.2275487698885188,0.0024007971535630283,0.020286665963315197
NGC3198,0.0,0.0447466229726662,0.16320558978961247,0.0018018774351409204,0.006572037172736072
NGC3521,0.0,0.4293353278909518,0.7751484867105399,0.04460085445080761,0.08052513405633764
NGC3726,0.0,0.11387379938284153,0.2778986798293128,0.020729122761906485,0.05058754411264138
NGC3741,0.0,0.009031348949171373,0.12325525414313489,0.0011341694029191958,0.015478566799370428
NGC3769,0.0,0.02774978251724689,0.11134872792645979,0.005157039228868891,0.02069312642881111
NGC3877,0.0,1.0541265199379888,0.815420500712326,0.08732409040906416,0.06754962727794417
NGC3893,0.0,0.27579688645529804,0.4743971164330317,0.044589915774209864,0.0766989349921668
NGC3917,0.0,0.19236853318377004,0.4092855417031198,0.021062248158806942,0.04481228558793283
NGC3949,0.0,1.2038837667212698,1.3090555421619379,0.3633022017916258,0.3950404298831883
NGC3953,0.0,1.018056107569405,0.9552893581282156,0.09186180691556492,0.08619820254738318
NGC3972,0.0,0.3509416973368928,0.6672632248628014,0.025665885327623508,0.04879984778847354
NGC3992,0.0,0.17510125497015444,0.3955069832130807,0.012707770402897285,0.028703460385084336
NGC4010,0.0,0.28713217903078947,0.4606563455380647,0.018357631118361948,0.029451799140958235
NGC4013,0.0,0.1241462279953595,0.301995279677933,0.014605438587689354,0.03552885643269799
NGC4051,0.0,0.800757104114642,0.6222762620572837,0.10258064863167962,0.07971643618511609
NGC4068,0.0,0.12595046437045052,0.2441609483782498,0.029879418039195187,0.05792266889927931
NGC4085,0.0,1.0448072251374576,0.9666966320322788,0.11369960979437038,0.1051993393682186
NGC4088,0.0,0.38861154055499025,0.45673921150483165,0.0339476748071026,0.03989905755674391
NGC4100,0.0,0.18573199505220583,0.35993664909956746,0.021026263590815757,0.04074754518108312
NGC4138,0.0,0.19248361118339222,0.39241074138074167,0.05389541113134983,0.10987500758660768
NGC4157,0.0,0.1938097328349117,0.3745494189641402,0.028495268827619453,0.055068887544997905
NGC4183,0.0,0.05760398854777077,0.1968467521287938,0.01172470563361706,0.040066153088161575
NGC4214,0.0,0.06375088205601645,0.37390886936822343,0.014822475554959658,0.08693613166204102
NGC4217,0.0,0.4576278152297613,0.6140557603872405,0.06170262677255209,0.08279403510839198
NGC4389,0.0,1.2273703945541101,0.7370175276168386,0.16960027270202252,0.10184242199796315
NGC4559,0.0,0.1068033879217016,0.21882632690406414,0.011003441478319845,0.022544628301208628
NGC5005,0.0,2.1297868682765095,1.9839576996769728,0.35362498944968457,0.32941184447466715
NGC5033,0.0,0.09355783020265142,0.27917642953287797,0.004773358683808746,0.014243695384330509
NGC5055,0.0,0.0812816379261322,0.17560944800674608,0.004574454971656742,0.009883136376193617
NGC5371,0.0,0.24944870040387773,0.31794021218719654,0.014053447910077623,0.017912124630264595
NGC5585,0.0,0.06716123202974585,0.2363026335085221,0.004056718713206124,0.014273313433400664
NGC5907,0.0,0.1280745994131538,0.29485241862553546,0.005984794365100645,0.013778150403062406
NGC5985,0.0,0.3364232683801679,0.7580783290674996,0.009443460165057345,0.021279391693122797
NGC6015,0.0,0.07036337058158759,0.25613117321690954,0.003147834999702603,0.01145849985444069
NGC6195,0.0,0.4550396680465151,0.5382885242856932,0.015685920264367673,0.01855563693472633
NGC6503,0.0,0.041762740447594496,0.18236097130486345,0.007263085295233824,0.031714951531280594
NGC6674,0.0,0.06794073551246445,0.2620814378552749,0.002807468409605969,0.010829811481622929
NGC6789,0.0,0.27273274123027214,1.665020583644446,0.08489032342929,0.518251439942311
NGC6946,0.0,0.2588029764400899,0.37671711588070095,0.07058262993820634,0.10274103160382751
NGC7331,0.0,0.3023378597170295,0.5055123189400411,0.022865888550027438,0.03823202412151571
NGC7793,0.0,0.22388387199312224,0.33946972061389674,0.03008131319731378,0.04561157039085396
NGC7814,0.0,0.2924150491840161,0.7598526487159856,0.013308984014263165,0.03458394765651261
PGC51017,0.0,0.03676873608529768,0.029895073994526067,0.008920939246924683,0.007253231067524357
UGC00128,0.0,0.013479560505810182,0.09419885755625555,0.0012832541601531294,0.00896773123935553
UGC00191,0.0,0.07004293746274141,0.22828620624268628,0.0017374992238819577,0.005662913643229427
UGC00634,0.0,0.03805891844489073,0.20792527950375375,0.001642729131016679,0.008974635319975976
UGC00731,0.0,0.04284959781111349,0.16220648171304367,0.003966052084276269,0.01501342807736426
UGC00891,0.0,0.031355596052538105,0.17820505456130395,0.0009345197254874102,0.005311209469278079
UGC01230,0.0,0.02254644454305884,0.09408274599237121,0.004377950396710455,0.018268494367450722
UGC01281,0.0,0.04876535313010986,0.2102461566035506,0.006856288665041808,0.029560092316843672
UGC02023,0.0,0.14705196192396447,0.2963923093540721,0.04346535881357997,0.08760711456758118
UGC02259,0.0,0.07108982708626259,0.32245171584121674,0.00473932180575084,0.021496781056081115
UGC02455,0.0,0.4135558248328721,0.2991980110287555,0.049355514832513256,0.03570756590638262
UGC02487,0.0,0.11790807057597603,0.44703810497028296,0.010834795674549149,0.04107917721348547
UGC02885,0.0,0.14731839379487321,0.38850289714735353,0.009887140523145852,0.026074019942775407
UGC02916,0.0,0.17355565286352626,0.2793686257120442,0.019752742812091936,0.03179554524678514
UGC02953,0.0,0.09925687953507183,0.3842615238724238,0.0036783431827703086,0.014240280002330997
UGC03205,0.0,0.11687746472581212,0.39170162306908907,0.0067151416097012044,0.02250503870724221
UGC03546,0.0,0.1788625997713178,0.41294278355075587,0.034475071044005295,0.07959311682947212
UGC03580,0.0,0.04045365451297829,0.18412792388101812,0.0012527583333051342,0.005702026029863787
UGC04278,0.0,0.12837812310187188,0.417132389197756,0.024209236576322825,0.07866181908362856
UGC04305,0.0,0.08591453220246649,0.06392825946067796,0.01619358758482853,0.012049508298345965
UGC04325,0.0,0.16944684112101857,0.48532700626176034,0.01129645607473457,0.03235513375078402
UGC04483,0.0,0.05487271227564635,0.15683732987686325,0.00557796992554091,0.01594296824368114
UGC04499,0.0,0.08473345196462612,0.2186897369142448,0.006089860477672994,0.01571740504874922
UGC05005,0.0,0.02479580240039524,0.11123296899800952,0.005004198264459181,0.022448631482948442
UGC05253,0.0,0.10247661124209757,0.28898236784334774,0.006139195150558689,0.017312429926762025
UGC05414,0.0,0.1358183729045544,0.2972343508790188,0.010794685012609537,0.02362383765943993
UGC05716,0.0,0.025872938574132746,0.1461758346426949,0.001447776214723894,0.008179584856846918
UGC05721,0.0,0.045614760640087994,0.30386343225171203,0.005244263047174897,0.03493473925510249
UGC05750,0.0,0.029376334997752246,0.0882819424492059,0.008191120024721792,0.024616004231717743
UGC05764,0.0,0.045662088276049735,0.2228930869404869,0.005069498377741794,0.024746046125256462
UGC05829,0.0,0.07531917637470187,0.22068573540183808,0.011111225436034735,0.032555971461612265
UGC05918,0.0,0.03866726341150109,0.14387629363333324,0.0068297683239190695,0.025412756583325827
UGC05986,0.0,0.10776399260862708,0.3942593578486504,0.01287125070596499,0.047090042928091144
UGC05999,0.0,0.06645805247516128,0.19978056103176273,0.0066458052475161285,0.019978056103176274
UGC06399,0.0,0.09571576587919141,0.3167689710259194,0.010707928146302234,0.0354376246124887
UGC06446,0.0,0.04951693970497404,0.20343150621517794,0.013352882617071649,0.0548579342602727
UGC06614,0.0,0.061185595927530104,0.20878492052717587,0.009597740537651783,0.03275057576896877
UGC06628,0.0,0.13357693665844406,0.07539776514937631,0.05223079272649326,0.029481773890559906
UGC06667,0.0,0.04847416935327409,0.30317687027091733,0.0038462584784394846,0.024056041048334167
UGC06786,0.0,0.1001843158863438,0.4236935694620107,0.006694781298566102,0.0283131721773192
UGC06787,0.0,0.11340897149858575,0.5665761132381979,0.003700245658306798,0.01848593436134042
UGC06818,0.0,0.0763588309901264,0.25697716092827017,0.012315940482278452,0.04144792918197906
UGC06917,0.0,0.15417613574815803,0.38133209039065413,0.01666769035115222,0.04122509085304369
UGC06923,0.0,0.2286775736383869,0.41304377860505304,0.028760927880536944,0.051948785965123805
UGC06930,0.0,0.08332849640820267,0.22755268105986798,0.011419090248531476,0.031183145182278205
UGC06973,0.0,1.3202182736087775,1.3374557793363082,0.1129520078531954,0.11442677223210637
UGC06983,0.0,0.06626387520335418,0.24553364767812505,0.014954966330298285,0.05541401589799886
UGC07089,0.0,0.09789279376929758,0.22134084908036575,0.018068707825938616,0.04085431601230517
UGC07125,0.0,0.03246189706639504,0.07306621323626353,0.0034812758641311163,0.007835760310083114
UGC07151,0.0,0.18202766747186708,0.3420986272314853,0.015145084143984742,0.028463324102987103
UGC07232,0.0,0.2977897428196576,0.7650601457407963,0.04466846142294863,0.11475902186111944
UGC07261,0.0,0.10294266994824039,0.28135041358128454,0.015312891245914338,0.04185133615952879
UGC07323,0.0,0.2522196072274077,0.4079703705683354,0.02280583831705766,0.03688890967522098
UGC07399,0.0,0.08547283474598223,0.5939574503176477,0.008015094126179843,0.05569751939771149
UGC07524,0.0,0.08071746812758306,0.18918232374457933,0.005680874972017238,0.013314604050884318
UGC07559,0.0,0.06531132566044794,0.13197559294941583,0.013143649961573009,0.026559574157421377
UGC07577,0.0,0.04296389113653184,0.06075155215192106,0.015302869090202915,0.021638474193437052
UGC07603,0.0,0.05759388211103278,0.32294027024171634,0.005201447478152648,0.02916554315620501
UGC07608,0.0,0.05736271513678999,0.3255687041220032,0.011075225519917029,0.06285871949714868
UGC07690,0.0,0.11551486130443037,0.2451758233308592,0.017812846233348653,0.03780707687141335
UGC07866,0.0,0.06606002916396632,0.1530284153127584,0.016245578169023743,0.03763296980803183
UGC08286,0.0,0.05822489948185192,0.2864198934040104,0.002762747306374943,0.013590505025101325
UGC08490,0.0,0.030241452739050344,0.1922478442289826,0.0028760556857498907,0.018283364567137778
UGC08550,0.0,0.04402323081610741,0.19988259448061055,0.0030624856219900803,0.013904876137781602
UGC08699,0.0,0.1275379081127018,0.4222533797670413,0.010439988325291107,0.034564784857433216
UGC08837,0.0,0.09203303706446934,0.17776131839644477,0.011504129633058668,0.022220164799555596
UGC09037,0.0,0.173828092766539,0.26776517142812106,0.036595387950850315,0.05637161503749917
UGC09133,0.0,0.041919393416786375,0.15689405479207955,0.0015083659465254136,0.005645445465007577
UGC09992,0.0,0.06615871995095188,0.09800375524593195,0.02183430640946867,0.03234409648349707
UGC10310,0.0,0.09258753376505716,0.22432892733876922,0.012800353028721017,0.031013780664868092
UGC11455,0.0,0.34489285524944435,0.5468176059256246,0.0228718419797,0.036262641235067734
UGC11557,0.0,0.22612606848622324,0.21910565064121446,0.0358590451800638,0.03474574814902099
UGC11820,0.0,0.03155880560059581,0.14608206754045225,0.0009790890547490944,0.004532090194860686
UGC11914,0.0,2.1905873801481963,3.066551333789126,0.07282805257279577,0.10195026401515324
UGC12506,0.0,0.13207258755704482,0.3281602529190219,0.013618151250326399,0.033836968300983594
UGC12632,0.0,0.05170968204771533,0.16243575355141357,0.003947195975735315,0.012399336591202294
UGC12732,0.0,0.05054315046586596,0.20208566546868553,0.0032801473159480357,0.013114947269192245
UGCA281,0.0,0.11334212452893593,0.26111051102949995,0.014215791890069928,0.03274945392573389
UGCA442,0.0,0.020136134343654622,0.1634170114434141,0.0004633092857832037,0.0037600374314413865
UGCA444,0.0,0.026996903029193647,0.18142633810411954,0.010967932405594077,0.07370741046736554
